"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"258";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2011;200;67427
"259";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2012;150;79162
"260";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2013;166;61254
"261";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2014;191;70551
"262";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2015;494;81169
"263";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2016;547;103645
"264";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2017;581;142043
"265";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2007;1180;959201
"266";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2008;1014;624277
"267";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2009;906;545754
"268";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2010;681;579762
"269";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2011;633;364141
"270";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2012;629;244228
"271";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2013;718;343689
"272";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2014;587;217703
"273";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2015;499;168995
"274";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2016;948;287770
"275";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2017;946;349742
"276";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2007;1037;621476
"277";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2008;879;449282
"278";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2009;786;321241
"279";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2010;558;373385
"280";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2011;532;155159
"281";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2012;521;133788
"282";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2013;598;212457
"283";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2014;501;138100
