Obsojeni polnoletni in mladoletni po: OBÈINE, KAZALNIK , LETO;;;;;;;;;;;
;;;;;;;;;;;
 ;Obsojeni polnoletni in mladoletni na 1000 prebivalcev; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Žužemberk;0.7;2.jun;2.sep;1.jan;1.mar;2.apr;1.jul;2.0;3.jan;2.feb;1.jul
Tujina;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije.;;;;;;;;;;;
;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;
- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/8274 ;;;;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;;;;
;;;;;;;;;;;
Podatki so teritorialno razvršèeni po uredbi o Standardni ;;;;;;;;;;;
klasifikaciji teritorialnih enot ((seznam ;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven SKTE 5. ;;;;;;;;;;;
Podatki o spremembah posameznih obèin so dostopni na (seznam ;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;;;;;;;;;;
ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V ;;;;;;;;;;;
Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je ;;;;;;;;;;;
opisana vrsta spremembe, naveden je datum, s katerim je opisana ;;;;;;;;;;;
